Fsi	Fsd	Fsi_l	Fsd_l	tl	th
0.00402079	0.00402079	0	0	67.2915	0
0.00235363	0.00235363	0	0	120.091	0
0.00235363	0.00235363	0	0	121.636	0
0.00353045	0.00353045	0	0	95.1143	0
0.00382465	0.00382465	0	0	96.8186	0
0.0092184	0.0092184	0	0	28.7135	0
0.00509954	0.00509954	0	0	100.352	0
0.00509954	0.00509954	0	0	59.7237	0
0.00176523	0.00176523	0	0	165.071	0
0.00235363	0.00235363	0	0	119.606	0
0.00294204	0.00294204	0	0	88.4722	0
0.00451113	0.00451113	0	0	65.4361	0
0.00509954	0.00509954	0	0	58.6962	0
0.00509954	0.00509954	0	0	49.0064	0
0.00451113	0.00451113	0	0	62.1037	0
0.00274591	0.00274591	0	0	121.615	0
0.00382465	0.00382465	0	0	65.2088	0
9.80681e-05	9.80681e-05	0	0	185	0
0.0049034	0.0049034	0	0	60.8064	0
0.00284397	0.00284397	0	0	99.1229	0
0.00598215	0.00598215	0	0	43.2684	0
0.00304011	0.00304011	0	0	85.2778	0
0.00284397	0.00284397	0	0	84.4949	0
0.00578602	0.00578602	0	0	51.4945	0
0.00205943	0.00205943	0	0	113.393	0
0.00382465	0.00382465	0	0	75.6151	0
0.00588408	0.00588408	0	0	52.1575	0
0.00470727	0.00470727	0	0	55.9827	0
0.00608022	0.00608022	0	0	43.0702	0
0.00264784	0.00264784	0	0	118.518	0
0.00480533	0.00480533	0	0	54.2564	0
0.0024517	0.00356249	0	0	68.5357	0
0.00568795	0.00568795	0	0	54.5343	0
0.00558988	0.00558988	0	0	100.515	0
0.00500147	0.00500147	0	0	51.6105	0
0.00298889	0.000773641	0	0	7.96875	0
0.00627636	0.00627636	0	0	48.4034	0
0.00176523	0.00176523	0	0	109.283	0
0.00637442	0.00637442	0	0	47.5812	0
0.00519761	0.00519761	0	0	59.9571	0
0.00470727	0.00470727	0	0	102.304	0
0.00228758	0.00274591	0	0	115.167	0
0.00274591	0.00274591	0	0	108.885	0
0.00205943	0.00205943	0	0	106.25	0
0.00519761	0.00519761	0	0	68.0669	0
0.00588408	0.00588408	0	0	46.9396	0
0.00313818	0.00313818	0	0	79.8106	0
0.0021575	0.0021575	0	0	124.917	0
0.00372659	0.00372659	0	0	88.3145	0
0.00294204	0.00294204	0	0	107.189	0
0.00137295	0.00137295	0	0	150.651	0
