1385 7 
1,52,73,104,155,186,207,
100,100,100,100,100,100,100,
0.11,0.06,0.09,0.07,0.07,0.08,0.08,
100,100,100,100,100,100,100,
0.23,0.09,0.13,0.12,0.14,0.14,0.13,
100,100,100,100,100,100,100,
1.29,0.28,0.25,0.38,0.24,0.26,0.37,
100,100,100,100,100,100,100,
0.23,0.08,0.1,0.11,0.1,0.09,0.12,
100,100,100,100,100,100,100,
1.87,0.62,0.62,0.86,0.74,0.61,1,
100,100,100,100,100,100,100,
2.98,0.71,0.49,1.45,0.4,0.4,0.96,
100,100,100,100,100,100,100,
5.44,1.13,0.8,2.86,0.76,0.66,1.97,
100,100,100,100,100,100,100,
4.35,1.19,0.79,2.24,0.83,0.75,1.89,
100,100,100,100,100,100,100,
4.98,1.48,1.08,2.77,1.02,0.99,2.17,
100,100,100,100,100,100,100,
0.07,0.07,0.33,0.03,0.24,0.06,1.17,
100,100,100,100,100,100,100,
7.66,1.79,1.25,3.9,1.21,0.99,3.11,
100,100,100,100,100,100,100,
5.49,1.32,0.79,2.81,0.79,0.69,2.15,
100,100,100,100,100,100,100,
0.53,0.19,0.62,0.46,0.53,0.32,1.54,
100,100,100,100,100,100,100,
7.89,1.81,1.29,3.82,1.11,0.97,2.95,
100,100,100,100,100,100,100,
0.23,0.1,0.41,0.1,0.3,0.15,1.31,
100,100,100,100,100,100,100,
0.16,0.03,0.09,0.12,0.1,0.09,0.12,
100,100,100,100,100,100,100,
0.25,0.09,0.14,0.12,0.13,0.14,0.17,
100,100,100,100,100,100,100,
0.16,0.15,0.15,0.07,0.15,0.17,0.17,
100,100,100,100,100,100,100,
0.14,0.12,0.13,0.06,0.2,0.17,0.2,
100,100,100,100,100,100,100,
0.27,0.17,0.14,0.23,0.18,0.22,0.29,
100,100,100,100,100,100,100,
0.09,0.1,0.11,0.04,0.13,0.12,0.12,
100,100,100,100,100,100,100,
0.24,0.18,0.15,0.24,0.3,0.2,0.18,
100,100,100,100,100,100,100,
0.16,0.12,0.12,0.44,0.15,0.13,0.12,
100,100,100,100,100,100,100,
0.37,0.13,0.18,0.08,0.19,0.17,0.25,
100,100,100,100,100,100,100,
0.25,0.09,0.17,0.12,0.17,0.17,0.17,
100,100,100,100,100,100,100,
0.19,0.18,0.18,0.1,0.17,0.17,0.18,
100,100,100,100,100,100,100,
0.27,0.14,0.15,0.09,0.16,0.15,0.21,
