Fsi	Fsd	Fsi_l	Fsd_l	tl	th
9.80681e-05	0.000210643	0	0	185	0
0.000294204	0.000294204	0	0	185	0
0.000392272	0.000294204	0	0	206	0
0.000743879	0.000168167	0	0	122.457	0
0.000588408	0.000588408	0	0	185	0
0.00196136	0.00196136	0	0	128.472	0
0.000721101	0.000477629	0	0	172.833	0
0.000588408	0.000588408	0	0	185	0
0.000392272	0.000392272	0	0	185	0
0.000392272	0.000392272	0	0	185	0
0.00049034	0.000297191	0	0	206	0
0.000294204	0.000132693	0	0	206	0
0.000552488	0.000327335	0	0	201.8	0
0.000392272	0.000230761	0	0	206	0
0.000356352	0.000196136	0	0	201.8	0
0.000552488	0.000327335	0	0	201.8	0
0	0	0	0	185	0
0.000808081	0.000808081	0	0	179	0
0.000588408	0.000588408	0	0	164.429	0
0.000588408	0.000588408	0	0	173	0
0.000392272	0.000229267	0	0	206	0
0.000392272	0.000392272	0	0	185	0
1.7971e-05	0.000645303	0	0	127	0
8.13247e-05	0.000294204	0	0	185	0
0.00049034	0.00049034	0	0	173	0
0.000258284	0.00049034	0	0	171.3	0
0.000588408	0.000588408	0	0	164.429	0
0.000196136	-9.65746e-05	0	0	185	0
0.00500868	0.00415243	0	0	7.10543e-15	0
0.000739914	0.000771018	0	0	129.476	0
0.00049034	0.00049034	0	0	173	0
0.000952424	0.000933344	0	0	151.833	0
0.000392272	0.000392272	0	0	185	0
0.00049034	0.00049034	0	0	185	0
0.000196136	0.000196136	0	0	185	0
0.00049034	0.00049034	0	0	185	0
0.000588408	0.000588408	0	0	185	0
9.80681e-05	0	0	0	206	0
0	0.000237341	0	0	159.5	0
0.000392272	0.000392272	0	0	185	0
0.0130372	0.0173402	0	0	0.4375	0
0.00049034	0.00049034	0	0	185	0
0.003885	0.00211696	0	0	21.0909	0
3.17279e-05	0.000392272	0	0	185	0
0.000196136	0.000196136	0	0	185	0
0.00107875	0.00107875	0	0	185	0
0.000392272	0.000392272	0	0	185	0
0.00049034	0.00049034	0	0	173	0
0.000882613	0.000882613	0	0	171.333	0
0.000882613	0.000882613	0	0	185	0
0.000392272	0.000392272	0	0	185	0
0.0194951	0.0181585	0	0	12.4895	0
0.00049034	0.00049034	0	0	173	0
0.000686476	0.000686476	0	0	164.429	0
0.000196136	0.000196136	0	0	185	0
0.000686476	0.000686476	0	0	185	0
0.00049034	0.00049034	0	0	185	0
0.000737208	0.000980681	0	0	150.167	0
