Fsi	Fsd	Fsi_l	Fsd_l	tl	th
0.000132782	0.000784544	0	0	128	0
0.000392272	0.000392272	0	0	185	0
0.000686476	0.000686476	0	0	173	0
0.000588408	0.000588408	0	0	185	0
0.000588408	0.000588408	0	0	185	0
0.00411616	0.00140022	0	0	101.864	0
0.00124214	0.00106327	0	0	124.024	0
0.00156909	0.00156909	0	0	150.476	0
0.000686476	0.000686476	0	0	164.429	0
0.00166716	0.00166716	0	0	140.714	0
0.00049034	0.00049034	0	0	173	0
0.00107875	0.00107875	0	0	164.429	0
1.49342e-06	0.000196136	0	0	185	0
0.000167879	0.000392272	0	0	185	0
9.80681e-05	9.80681e-05	0	0	185	0
0.00189617	0.000672542	0	0	51.9545	0
0	0	0	0	185	0
0.00049034	0.00049034	0	0	173	0
0.000882613	0.000882613	0	0	161.571	0
0.000588408	0.000588408	0	0	164.429	0
0	0	0	0	206	0
0.000392272	0.000392272	0	0	185	0
0.000294204	0.000294204	0	0	185	0
0.000196136	0.000196136	0	0	185	0
0	0.00165175	0	0	95.125	0
0.000808081	0.000808081	0	0	179	0
0.00757584	5.16397e-05	0	0	54.5	1.52727
0.000294204	-1.67433e-05	0	0	185	0
0.000588408	0.000588408	0	0	185	0
0.000686476	0.000686476	0	0	173	0
0.000392272	0.000392272	0	0	185	0
0.00104946	0.00104946	0	0	122	0
9.80681e-05	9.80681e-05	0	0	185	0
0.000392272	0.000392272	0	0	185	0
0.000392272	0.000392272	0	0	185	0
0.000392272	0.000392272	0	0	185	0
0.000392272	0.000392272	0	0	185	0
0.00049034	0.00049034	0	0	173	0
0.00049034	0.00049034	0	0	185	0
0.00527942	0.00169521	0	0	59.8286	0
0.000686476	0.000686476	0	0	173	0
0.000294204	0.000294204	0	0	185	0
0.00049034	0.00049034	0	0	173	0
0.000784544	0.000784544	0	0	164.429	0
0.000392272	0.000392272	0	0	185	0
