450 7 
1,52,73,104,155,186,207,
100,100,100,100,100,100,100,
0.19,0.11,0.14,0.14,0.12,0.13,0.16,
100,100,100,100,100,100,100,
0.15,0.1,0.11,0.14,0.15,0.14,0.16,
100,100,100,100,100,100,100,
0.3,0.22,0.2,0.36,0.24,0.21,0.23,
100,100,100,100,100,100,100,
0.25,0.07,0.07,0.11,0.09,0.08,0.11,
100,100,100,100,100,100,100,
0.29,0.07,0.06,0.05,0.05,0.07,0.1,
100,100,100,100,100,100,100,
0.39,0.29,0.29,0.29,0.22,0.34,0.28,
100,100,100,100,100,100,100,
0.31,0.1,0.23,0.2,0.23,0.2,0.22,
100,100,100,100,100,100,100,
0.27,0.11,0.17,0.14,0.2,0.16,0.19,
100,100,100,100,100,100,100,
0.2,0.05,0.14,0.14,0.13,0.11,0.14,
100,100,100,100,100,100,100,
0.1,0.11,0.15,0.05,0.17,0.12,0.14,
100,100,100,100,100,100,100,
0.12,0.09,0.12,0.04,0.15,0.14,0.11,
100,100,100,100,100,100,100,
0.28,0.19,0.2,0.21,0.22,0.23,0.24,
100,100,100,100,100,100,100,
0.31,0.12,0.12,0.08,0.15,0.11,0.1,
100,100,100,100,100,100,100,
0.18,0.24,0.13,0.2,0.18,0.21,0.28,
100,100,100,100,100,100,100,
0.26,0.12,0.11,0.03,0.11,0.08,0.15,
100,100,100,100,100,100,100,
0.13,0.05,0.13,0.07,0.15,0.15,0.19,
100,100,100,100,100,100,100,
0.15,0.14,0.13,0.16,0.15,0.16,0.16,
100,100,100,100,100,100,100,
0.2,0.1,0.1,0.12,0.13,0.12,0.18,
100,100,100,100,100,100,100,
0.26,0.11,0.16,0.13,0.15,0.18,0.22,
100,100,100,100,100,100,100,
0.17,0.07,0.08,0.05,0.13,0.12,0.13,
100,100,100,100,100,100,100,
0.22,0.21,0.21,0.16,0.15,0.16,0.24,
100,100,100,100,100,100,100,
0.16,0.09,0.09,0.12,0.1,0.11,0.11,
100,100,100,100,100,100,100,
0.12,0.11,0.09,0.05,0.09,0.07,0.11,
100,100,100,100,100,100,100,
0.35,0.14,0.13,0.09,0.12,0.12,0.16,
100,100,100,100,100,100,100,
0.09,0.08,0.07,0.03,0.11,0.12,0.12,
100,100,100,100,100,100,100,
0.21,0.09,0.12,0.08,0.1,0.13,0.13,
100,100,100,100,100,100,100,
0.35,0.13,0.15,0.12,0.14,0.13,0.15,
