Fsi	Fsd	Fsi_l	Fsd_l	tl	th
0.000295698	0.00049034	0	0	185	0
0.00152175	0.00176523	0	0	131.333	0
0.00106201	0.000952424	0	0	191.143	0
0.000686476	0.00016324	0	0	183.875	0
0.000621539	0.000282648	0	0	183.875	0
0.00036959	0.00023769	0	0	195.5	0
0.000196136	0.000196136	0	0	185	0
0.000302613	0.000698552	0	0	112.857	0
0.00068797	0.000532595	0	0	132.875	0
0.000980681	0.000980681	0	0	179.833	0
0.00037556	0.000888526	0	0	109.357	0
0.000392272	0.000392272	0	0	185	0
0.000686476	0.000686476	0	0	158	0
0.000588408	0.000588408	0	0	185	0
0.000196136	0.000196136	0	0	185	0
0.0027568	0.00404108	0	0	11.2769	0
0.000686476	0.000686476	0	0	164.429	0
0.000392272	0.000392272	0	0	185	0
0.000294204	0.000294204	0	0	185	0
0.00137295	0.00137295	0	0	167.833	0
0.00176523	0.00176523	0	0	132.143	0
2.98684e-06	1.49342e-06	0	0	185	0
6.62622e-05	-6.4937e-05	0	0	206	0
0.00176523	0.00176523	0	0	128.512	0
0.000339609	-0.000212879	0	0	201.8	0
0.00147102	0.00147102	0	0	149.571	0
0.00186329	0.00186329	0	0	122.083	0
0.00225557	0.00122755	0	0	132.75	0
0.000877945	0.000877945	0	0	147.81	0
0.00117682	0.00117682	0	0	171.333	0
0.000980681	0.000980681	0	0	185	0
0.00127488	0.00127488	0	0	161.571	0
0.00205943	0.00182212	0	0	127.393	0
0.0021575	0.00122755	0	0	134.208	0
0.00137295	0.00137295	0	0	159.333	0
0.00137295	0.00137295	0	0	161.571	0
0.000980681	0.000980681	0	0	171.333	0
0.000882613	0.000882613	0	0	185	0
0.00107875	0.00107875	0	0	185	0
0.000392272	0.000392272	0	0	185	0
0.000882613	0.000882613	0	0	154.25	0
0.00127488	0.00127488	0	0	166.167	0
0.00107875	0.00107875	0	0	185	0
0.00107875	0.00107875	0	0	185	0
0.00147102	0.00147102	0	0	154.167	0
0.00137295	0.000794103	0	0	146.262	0
0.000686476	0.000686476	0	0	176.143	0
0.0182807	0.010956	0	0	8.11442	0
0.000392272	0.000392272	0	0	185	0
0.000392272	0.000392272	0	0	185	0
0.000784544	0.000784544	0	0	173	0
0.000686476	0.000686476	0	0	158	0
0.00149408	0.00139811	0	0	42.5	0
0.000392272	0.000392272	0	0	185	0
0.000588408	0.000588408	0	0	164.429	0
9.80681e-05	0.000196136	0	0	185	0
0.000392272	0.000392272	0	0	185	0
0.000196136	0.00326609	0	0	128	0
0.000392272	0.000392272	0	0	185	0
0.000196136	0.000196136	0	0	185	0
0.000392272	0.000392272	0	0	185	0
0.000933344	0.000952424	0	0	146.833	0
0.000392272	0.000392272	0	0	185	0
0.000392272	0.000392272	0	0	185	0
0.000392272	0.000392272	0	0	185	0
0.00049034	0.00049034	0	0	185	0
0.00063914	0.000692779	0	0	128.5	0
0.000392272	0.000392272	0	0	185	0
0.000588408	0.000588408	0	0	173	0
0.00049034	0.00049034	0	0	173	0
0.00580575	0.0031351	0	0	60.7986	0
0.00049034	0.00049034	0	0	185	0
9.80681e-05	9.80681e-05	0	0	185	0
0.000588408	0.000588408	0	0	173	0
0.00712974	0.00395007	0	0	75.3215	0
0.000265947	0.00049034	0	0	185	0
0.00023088	0.00023088	0	0	206	0
0.00049034	0.00049034	0	0	173	0
9.80681e-05	9.80681e-05	0	0	185	0
0.00011544	0.00011544	0	0	206	0
0.000686476	0.000686476	0	0	185	0
9.80681e-05	9.80681e-05	0	0	185	0
0.000196136	0.000196136	0	0	185	0
0.000980681	0.000980681	0	0	185	0
0.000784544	0.000784544	0	0	185	0
0.000882613	0.00065822	0	0	206	0
0.000588408	0.000588408	0	0	164.429	0
0.00049034	0.00049034	0	0	173	0
0.00049034	0.00049034	0	0	185	0
0.00107875	0.00107875	0	0	148.556	0
0.000588408	0.000588408	0	0	173	0
0.00049034	0.00049034	0	0	173	0
0.000392272	0.000392272	0	0	185	0
0	0	0	0	206	0
0.000392272	0.000392272	0	0	185	0
0.000392272	0.000392272	0	0	185	0
0.000392272	0.000392272	0	0	185	0
0.000588408	0.000588408	0	0	164.429	0
0.000588408	0.000588408	0	0	173	0
0.00229901	0.000982263	0	0	51.2846	0
0.00217265	0.00235718	0	0	94.7857	0
0.00202302	0.00172175	0	0	47.44	0
0.00166555	0.00163259	0	0	87.5	0
0.00151621	0.00184905	0	0	82.3333	0
0.00154307	0.00173221	0	0	28.75	0
0.00156146	0.00100899	0	0	79.75	0
0.0030739	0.00231323	0	0	70	0
0.000882613	0.000882613	0	0	185	0
