Fsi	Fsd	Fsi_l	Fsd_l	tl	th
9.80681e-05	0.00166716	0	0	170	0
0.00274398	0.00243339	0	0	99.8333	0
0	-7.64401e-05	0	0	206	0
0.000392272	0.000392272	0	0	185	0
0.000686476	0.000686476	0	0	173	0
0.000392272	0.000392272	0	0	185	0
0	0	0	0	206	0
0.000392272	0.000392272	0	0	185	0
9.80681e-05	9.80681e-05	0	0	185	0
0.000392272	0.000392272	0	0	185	0
9.80681e-05	0.000378746	0	0	151	0
0.000686476	0.000686476	0	0	158	0
0.000392272	0.000392272	0	0	185	0
0.000294204	0.000294204	0	0	185	0
0.00049034	0.00049034	0	0	185	0
0.000588408	0.000588408	0	0	185	0
0.00049034	0.00049034	0	0	173	0
0.000392272	0.000392272	0	0	185	0
9.80681e-05	0.000462784	0	0	159.5	0
9.80681e-05	9.80681e-05	0	0	185	0
9.80681e-05	9.80681e-05	0	0	185	0
0.000392272	0.000392272	0	0	185	0
0.000392272	0.000392272	0	0	185	0
0.000294204	0.000294204	0	0	185	0
0.000784544	0.000784544	0	0	185	0
0.00127488	0.00127488	0	0	171.333	0
0.000396408	4.12051e-05	0	0	164.55	0
0.000980681	0.000980681	0	0	153	0
