7368 2 
1,52,
100,100,
0.33,0.09,
100,100,
0.18,0.15,
100,100,
0.39,0.17,
100,100,
0.19,0.04,
100,100,
0.12,0.04,
100,100,
0.28,0.23,
100,100,
0.2,0.06,
100,100,
0.19,0.08,
100,100,
0.14,0.11,
100,100,
0.12,0.03,
100,100,
0.06,0.04,
100,100,
0.14,0.04,
100,100,
0.25,0.1,
100,100,
0.24,0.21,
100,100,
0.27,0.1,
100,100,
0.12,0.05,
100,100,
0.14,0.06,
100,100,
0.11,0.04,
100,100,
0.02,0.01,
100,100,
0.16,0.04,
100,100,
0.15,0.03,
100,100,
0.14,0.1,
100,100,
0.14,0.06,
100,100,
0.13,0.05,
100,100,
0.12,0.14,
100,100,
0.1,0.1,
100,100,
0.2,0.08,
100,100,
0.12,0.06,
100,100,
0.16,0.19,
100,100,
0.13,0.16,
100,100,
0.1,0.1,
100,100,
0.28,0.17,
100,100,
0.11,0.09,
100,100,
0.22,0.11,
100,100,
0.19,0.15,
100,100,
0.21,0.14,
100,100,
0.09,0.1,
100,100,
0.06,0.06,
100,100,
0.15,0.15,
100,100,
0.07,0.03,
100,100,
0.22,0.19,
100,100,
0.12,0.15,
100,100,
0.13,0.16,
100,100,
0.08,0.08,
100,100,
0.11,0.12,
100,100,
0.1,0.09,
100,100,
0.11,0.14,
100,100,
0.19,0.1,
100,100,
0.19,0.11,
100,100,
0.13,0.08,
100,100,
0.17,0.1,
100,100,
0.09,0.06,
100,100,
0.22,0.19,
100,100,
0.19,0.21,
100,100,
0.2,0.15,
100,100,
0.14,0.09,
100,100,
0.2,0.1,
100,100,
0.14,0.15,
100,100,
0.24,0.11,
100,100,
0.24,0.21,
100,100,
0.19,0.18,
100,100,
0.09,0.06,
100,100,
0.13,0.09,
100,100,
0.2,0.14,
100,100,
0.07,0.1,
100,100,
0.23,0.15,
100,100,
0.14,0.21,
100,100,
0.2,0.09,
100,100,
0.13,0.14,
100,100,
0.2,0.17,
100,100,
0.13,0.1,
100,100,
