108 7 
1,52,73,104,155,186,207,
100,100,100,100,100,100,100,
1.3,0.3,0.2,0.4,0.2,0.3,0.4,
100,100,100,100,100,100,100,
1.9,0.6,0.6,0.9,0.7,0.6,1,
100,100,100,100,100,100,100,
3,0.7,0.5,1.4,0.4,0.4,1,
100,100,100,100,100,100,100,
5.4,1.1,0.8,2.9,0.8,0.7,2,
100,100,100,100,100,100,100,
4.3,1.2,0.8,2.2,0.8,0.8,1.9,
100,100,100,100,100,100,100,
5,1.5,1.1,2.8,1,1,2.2,
100,100,100,100,100,100,100,
0.1,0.1,0.3,0,0.2,0.1,1.2,
100,100,100,100,100,100,100,
7.7,1.8,1.2,3.9,1.2,1,3.1,
100,100,100,100,100,100,100,
5.5,1.3,0.8,2.8,0.8,0.7,2.1,
100,100,100,100,100,100,100,
0.5,0.2,0.6,0.5,0.5,0.3,1.5,
100,100,100,100,100,100,100,
7.9,1.8,1.3,3.8,1.1,1,3,
100,100,100,100,100,100,100,
0.2,0.1,0.4,0.1,0.3,0.2,1.3,
100,100,100,100,100,100,100,
0.8,0.1,0.1,0.1,0.1,0.1,0.1,
100,100,100,100,100,100,100,
0.5,0.2,0.2,0.1,0.2,0.2,0.2,
100,100,100,100,100,100,100,
0.3,0.1,0.1,0.1,0.1,16.5,3.5,
100,100,100,100,100,100,100,
4.9,14,22.8,42.3,99.4,99.6,99.6,
100,100,100,100,100,100,100,
0.7,0.1,0.2,0.2,0.2,0.2,0.2,
100,100,100,100,100,100,100,
0.5,0.1,0.1,0.2,0.1,0.1,0.1,
100,100,100,100,100,100,100,
0.2,0.2,0.2,0.2,2.2,0.2,0.2,
100,100,100,100,100,100,100,
0.6,0.5,0.6,0.2,0.4,0.5,0.4,
100,100,100,100,100,100,100,
0.7,0.7,0.7,0.3,0.6,0.6,0.5,
100,100,100,100,100,100,100,
1.3,1.1,1.3,0.4,1,1.1,0.8,
100,100,100,100,100,100,100,
1.2,1,1.2,0.3,1,1.1,0.8,
100,100,100,100,100,100,100,
0.7,0.8,0.6,0.8,0.6,0.7,0.5,
100,100,100,100,100,100,100,
1.1,1.4,1,1.6,0.9,1.2,1,
100,100,100,100,100,100,100,
0.6,0.7,0.5,0.6,0.5,0.7,0.4,
100,100,100,100,100,100,100,
0.8,0.8,0.6,0.7,0.6,0.7,0.6,
100,100,100,100,100,100,100,
