Fsi	Fsd	Fsi_l	Fsd_l	tl	th
0.00519761	0.00519761	0	0	51.451	0
0.00909871	0.00990487	0	0	33.0895	0
0.00647249	0.00647249	0	0	82.5861	0
0.00411886	0.00411886	0	0	72.9906	0
0.00500147	0.00500147	0	0	54.0555	0
0.00500147	0.00500147	0	0	73.9472	0
0.00509954	0.00509954	0	0	53.3732	0
0.00441306	0.00441306	0	0	58.9732	0
0.00402079	0.00402079	0	0	107.341	0
0.00470727	0.00470727	0	0	55.9827	0
0.00372659	0.00372659	0	0	70.8442	0
0.00362852	0.00362852	0	0	70.0897	0
0.00107875	0.00107875	0	0	166.917	0
0.00608022	0.00608022	0	0	41.7943	0
0.00382465	0.00382465	0	0	67.3114	0
0.00411886	0.00411886	0	0	73.0317	0
0.00392272	0.00392272	0	0	79.8849	0
0.0049034	0.0049034	0	0	69.0915	0
0.00549181	0.00549181	0	0	57.8444	0
0.00411886	0.00411886	0	0	68.9638	0
0.00529568	0.00529568	0	0	67.7643	0
0.00509954	0.00509954	0	0	100.658	0
0.00578602	0.00578602	0	0	45.3224	0
0.0021575	0.0021575	0	0	121.196	0
0.00254977	0.00254977	0	0	116.5	0
0.00176523	0.00176523	0	0	136.091	0
0.00431499	0.00431499	0	0	71.6067	0
0.00274591	0.00274591	0	0	82.3333	0
0.00441306	0.00441306	0	0	70.8952	0
0.00578602	0.00578602	0	0	56.732	0
0.00549181	0.00549181	0	0	58.0033	0
0.00196136	0.00196136	0	0	130.472	0
0.00264784	0.00264784	0	0	113.872	0
0.00343238	0.00343238	0	0	104.729	0
0.00372659	0.00372659	0	0	71.226	0
0.00529568	0.00529568	0	0	49.4184	0
0.00441306	0.00441306	0	0	56.6964	0
0.00500147	0.00500147	0	0	55.626	0
0.0021575	0.0021575	0	0	123.783	0
0.00353045	0.00353045	0	0	108.051	0
0.00382465	0.00382465	0	0	67.3114	0
0.00549181	0.00549181	0	0	49.878	0
0.00411886	0.00411886	0	0	84.8319	0
0.0021575	0.0021575	0	0	123.222	0
0.00441306	0.00441306	0	0	72.5036	0
0.00156909	0.00156909	0	0	129.333	0
0.00500147	0.00500147	0	0	50.254	0
0.00608022	0.00608022	0	0	56.8368	0
0.00558988	0.00558988	0	0	46.4444	0
0.00372659	0.00372659	0	0	69.2381	0
0.00264784	0.00264784	0	0	113.872	0
0.00382465	0.00382465	0	0	67.0833	0
0.00451113	0.00451113	0	0	63.5332	0
0.00343238	0.00343238	0	0	78.1906	0
0.00294204	0.00294204	0	0	84.114	0
0.00421693	0.00421693	0	0	72.2525	0
0.00353045	0.00353045	0	0	102.697	0
0.0021575	0.0021575	0	0	124.917	0
0.00657056	0.00657056	0	0	42.0933	0
0.010101	0.010101	0	0	26.1032	0
0.00402079	0.00402079	0	0	105.81	0
0.00431499	0.00431499	0	0	60.8188	0
0.00372659	0.00372659	0	0	70.3723	0
0.00411886	0.00411886	0	0	106.188	0
0.00608022	0.00608022	0	0	42.8247	0
0.0103952	0.0103952	0	0	25.8021	0
0.00274591	0.00274591	0	0	117.884	0
0.00813965	0.00813965	0	0	32.7691	0
0.00235363	0.00235363	0	0	127.089	0
0.00304011	0.00304011	0	0	103.601	0
0.0021575	0.0021575	0	0	119.333	0
0.00500147	0.00500147	0	0	67.5596	0
0.00304011	0.00304011	0	0	116.091	0
0.00568795	0.00568795	0	0	91.4828	0
0.00441306	0.00441306	0	0	56.951	0
0.000294204	0.000294204	0	0	185	0
0.00274591	0.00274591	0	0	113.226	0
0.00725704	0.00725704	0	0	39.6324	0
0.00372659	0.00372659	0	0	103.499	0
0.00470727	0.00470727	0	0	81.0224	0
0.00402079	0.00402079	0	0	94.4048	0
0.00764931	0.00764931	0	0	38.469	0
0.00529568	0.00529568	0	0	54.0964	0
0.00431499	0.00431499	0	0	59.3125	0
0.0024517	0.0024517	0	0	119.606	0
0.00509954	0.00509954	0	0	53.549	0
0.00333431	0.00333431	0	0	75.3636	0
0.0049034	0.0049034	0	0	54.767	0
0.00657056	0.00657056	0	0	42.0933	0
0.00225557	0.00225557	0	0	113.778	0
0.0067667	0.0067667	0	0	97.3377	0
0.00402079	0.00402079	0	0	64.3718	0
0.00402079	0.00402079	0	0	63.7864	0
0.00323625	0.00323625	0	0	77.0833	0
