7368 7 
1,52,73,104,155,186,207,
100,100,100,100,100,100,100,
0.31,0.33,0.33,0.09,0.36,0.38,0.39,
100,100,100,100,100,100,100,
0.18,0.2,0.18,0.15,0.19,0.19,0.17,
100,100,100,100,100,100,100,
0.34,0.33,0.39,0.17,0.35,0.42,0.2,
100,100,100,100,100,100,100,
0.2,0.16,0.19,0.04,0.2,0.19,0.19,
100,100,100,100,100,100,100,
0.07,0.08,0.12,0.04,0.09,0.14,0.05,
100,100,100,100,100,100,100,
0.29,0.25,0.28,0.23,0.25,0.29,0.22,
100,100,100,100,100,100,100,
0.13,0.15,0.2,0.06,0.16,0.27,0.15,
100,100,100,100,100,100,100,
0.24,0.19,0.19,0.08,0.19,0.18,0.18,
100,100,100,100,100,100,100,
0.12,0.15,0.14,0.11,0.11,0.14,0.09,
100,100,100,100,100,100,100,
0.11,0.12,0.12,0.03,0.14,0.12,0.13,
100,100,100,100,100,100,100,
0.07,0.05,0.06,0.04,0.08,0.07,0.08,
100,100,100,100,100,100,100,
0.15,0.17,0.14,0.04,0.15,0.14,0.15,
100,100,100,100,100,100,100,
0.23,0.16,0.25,0.1,0.23,0.27,0.13,
100,100,100,100,100,100,100,
0.22,0.16,0.24,0.21,0.23,0.27,0.15,
100,100,100,100,100,100,100,
0.22,0.21,0.27,0.1,0.25,0.37,0.22,
100,100,100,100,100,100,100,
0.14,0.13,0.12,0.05,0.13,0.14,0.14,
100,100,100,100,100,100,100,
0.12,0.08,0.14,0.06,0.11,0.22,0.04,
100,100,100,100,100,100,100,
0.1,0.12,0.11,0.04,0.12,0.12,0.12,
100,100,100,100,100,100,100,
0.01,0.02,0.02,0.01,0.02,0.03,0.01,
100,100,100,100,100,100,100,
0.15,0.16,0.16,0.04,0.16,0.17,0.14,
100,100,100,100,100,100,100,
0.12,0.12,0.15,0.03,0.12,0.14,0.13,
100,100,100,100,100,100,100,
0.26,0.12,0.14,0.1,0.17,0.14,0.16,
100,100,100,100,100,100,100,
0.16,0.16,0.14,0.06,0.16,0.18,0.19,
100,100,100,100,100,100,100,
0.1,0.11,0.13,0.05,0.15,0.15,0.13,
100,100,100,100,100,100,100,
0.13,0.24,0.12,0.14,0.11,0.11,0.13,
100,100,100,100,100,100,100,
0.12,0.07,0.1,0.1,0.11,0.12,0.12,
100,100,100,100,100,100,100,
0.25,0.19,0.2,0.08,0.2,0.21,0.26,
