Position,P0_A,P0_C,P0_G,P0_T,P0_Coverage,P0_Entropy,P5_A,P5_C,P5_G,P5_T,P5_Coverage,P5_Entropy,P7_A,P7_C,P7_G,P7_T,P7_Coverage,P7_Entropy,P10_A,P10_C,P10_G,P10_T,P10_Coverage,P10_Entropy,P15_A,P15_C,P15_G,P15_T,P15_Coverage,P15_Entropy,P18_A,P18_C,P18_G,P18_T,P18_Coverage,P18_Entropy,P20_A,P20_C,P20_G,P20_T,P20_Coverage,P20_Entropy,R2_P20_A,R2_P20_C,R2_P20_G,R2_P20_T,R2_P20_Coverage,R2_P20_Entropy,R3_P20_A,R3_P20_C,R3_P20_G,R3_P20_T,R3_P20_Coverage,R3_P20_Entropy,R4_P20_A,R4_P20_C,R4_P20_G,R4_P20_T,R4_P20_Coverage,R4_P20_Entropy,Group
43,0.18,0.31,99.19,0.31,122169,0.08,0.17,0.29,99.21,0.33,128416,0.08,0.21,0.29,99.17,0.33,157823,0.08,0.14,0.25,99.53,0.09,50119,0.05,0.2,0.32,99.12,0.36,146393,0.09,0.28,0.31,99.03,0.38,107389,0.09,0.19,0.29,99.13,0.39,152922,0.09,0.12,0.33,99.48,0.08,54404,0.05,0.22,0.3,99.1,0.37,174829,0.09,0.18,0.38,99.3,0.14,26348,0.07,R1_Ribp_UVp
44,0.18,0.13,99.59,0.1,127902,0.04,0.2,0.14,99.55,0.11,133733,0.05,0.18,0.13,99.59,0.11,164085,0.05,0.15,0.11,99.72,0.02,51958,0.03,0.19,0.14,99.55,0.12,151934,0.05,0.19,0.13,99.52,0.16,111480,0.05,0.17,0.13,99.56,0.14,158616,0.05,0.2,0.14,99.63,0.04,56539,0.04,0.17,0.14,99.55,0.15,182022,0.05,0.16,0.1,99.7,0.04,27330,0.03,R1_Ribp_UVp
45,0.03,99.52,0.34,0.11,133000,0.05,0.03,99.55,0.33,0.09,138758,0.05,0.02,99.49,0.39,0.09,170069,0.05,0.02,99.76,0.17,0.05,53563,0.03,0.03,99.5,0.35,0.12,158000,0.05,0.04,99.43,0.42,0.11,115696,0.06,0.02,99.67,0.2,0.11,163663,0.04,0.01,99.59,0.34,0.06,58957,0.04,0.03,99.49,0.37,0.11,189371,0.05,0.01,99.58,0.36,0.04,28372,0.04,R1_Ribp_UVp
46,0.03,0.14,99.63,0.2,135560,0.04,0.03,0.14,99.67,0.16,141351,0.04,0.03,0.17,99.61,0.19,173651,0.04,0.01,0.05,99.9,0.04,54406,0.01,0.02,0.13,99.65,0.2,161625,0.04,0.04,0.2,99.56,0.19,118266,0.05,0.03,0.06,99.72,0.19,166016,0.03,0.01,0.17,99.76,0.06,60341,0.03,0.02,0.19,99.6,0.19,193644,0.04,0.01,0.22,99.72,0.05,28963,0.03,R1_Ribp_UVp
47,0.01,99.89,0.03,0.07,136483,0.01,0.02,99.86,0.04,0.08,142239,0.02,0.02,99.81,0.05,0.12,174983,0.02,0.01,99.94,0.01,0.04,54537,0.01,0.02,99.88,0.02,0.09,162435,0.02,0.02,99.75,0.09,0.14,119846,0.03,0.01,99.92,0.01,0.05,166335,0.01,0.01,99.82,0.05,0.12,60952,0.02,0.02,99.8,0.05,0.13,195668,0.02,0.01,99.8,0.05,0.14,29279,0.02,R1_Ribp_UVp
48,0.24,0.07,0.29,99.4,137854,0.06,0.19,0.06,0.25,99.5,143186,0.05,0.3,0.1,0.28,99.32,176289,0.07,0.22,0.04,0.23,99.51,54591,0.05,0.27,0.07,0.25,99.41,162928,0.06,0.36,0.13,0.29,99.22,121457,0.08,0.15,0.04,0.22,99.59,166481,0.04,0.35,0.11,0.33,99.2,61470,0.08,0.31,0.09,0.28,99.33,197320,0.07,0.35,0.12,0.27,99.26,29541,0.07,R1_Ribp_UVp
49,99.64,0.08,0.14,0.13,138152,0.04,99.62,0.08,0.15,0.15,143342,0.04,99.58,0.08,0.13,0.2,176588,0.05,99.79,0.05,0.1,0.06,54612,0.03,99.66,0.07,0.11,0.16,163060,0.04,99.49,0.1,0.13,0.27,121763,0.05,99.67,0.06,0.12,0.15,166535,0.04,99.77,0.04,0.12,0.07,61594,0.03,99.64,0.08,0.12,0.16,197724,0.04,99.75,0.05,0.14,0.06,29595,0.03,R1_Ribp_UVp
50,0.08,0.15,99.53,0.24,138996,0.05,0.06,0.22,99.53,0.19,143595,0.05,0.07,0.17,99.57,0.19,177222,0.05,0.05,0.05,99.82,0.08,54668,0.02,0.06,0.12,99.63,0.19,163277,0.04,0.09,0.2,99.53,0.18,122249,0.05,0.06,0.05,99.71,0.18,166628,0.03,0.06,0.17,99.69,0.09,61796,0.03,0.06,0.16,99.57,0.21,198191,0.05,0.05,0.22,99.66,0.07,29690,0.04,R1_Ribp_UVp
51,0.12,99.78,0.02,0.09,139418,0.03,0.15,99.76,0.02,0.08,143727,0.03,0.14,99.77,0.02,0.07,177513,0.03,0.11,99.85,0.01,0.04,54701,0.02,0.11,99.79,0.02,0.08,163414,0.02,0.14,99.72,0.04,0.1,122498,0.03,0.09,99.82,0.01,0.08,166738,0.02,0.14,99.81,0.01,0.05,61879,0.02,0.12,99.79,0.02,0.08,198397,0.02,0.11,99.86,0,0.03,29731,0.02,R1_Ribp_UVp
52,99.79,0.07,0.02,0.11,139500,0.02,99.79,0.07,0.01,0.12,143801,0.02,99.76,0.1,0.02,0.12,177605,0.03,99.9,0.06,0.02,0.03,54719,0.01,99.76,0.08,0.03,0.14,163481,0.03,99.74,0.12,0.02,0.12,122560,0.03,99.8,0.06,0.01,0.13,166804,0.02,99.86,0.08,0.02,0.03,61905,0.02,99.76,0.1,0.02,0.13,198473,0.03,99.87,0.07,0.02,0.04,29751,0.02,R1_Ribp_UVp
