Fsi	Fsd	Fsi_l	Fsd_l	tl	th
0.0092184	0.0092184	0	0	28.7341	0
0.00343238	0.00343238	0	0	110.611	0
0.010101	0.010101	0	0	26.9868	0
0.00333431	0.00333431	0	0	105.783	0
0.00235363	0.00235363	0	0	115.595	0
0.00774738	0.00774738	0	0	34.3495	0
0.00264784	0.00264784	0	0	86.0256	0
0.00578602	0.00578602	0	0	44.7368	0
0.00372659	0.00372659	0	0	68.4048	0
0.00313818	0.00313818	0	0	79.8106	0
0.00147102	0.00147102	0	0	159.262	0
0.00421693	0.00421693	0	0	59.1891	0
0.00598215	0.00598215	0	0	47.4772	0
0.00578602	0.00578602	0	0	48.447	0
0.00657056	0.00657056	0	0	41.6282	0
0.00353045	0.00353045	0	0	70.1694	0
0.00304011	0.00304011	0	0	92.3214	0
0.00205943	0.00205943	0	0	120.258	0
0.000196136	0.000196136	0	0	185	0
0.00431499	0.00431499	0	0	59.3125	0
0.00353045	0.00353045	0	0	74.5	0
0.00480533	0.00480533	0	0	59.0842	0
0.00421693	0.00421693	0	0	59.1964	0
0.0021575	0.0021575	0	0	121.196	0
0.00451113	0.00451113	0	0	57.6923	0
0.00166716	0.00166716	0	0	119.571	0
0.00421693	0.00421693	0	0	66.9789	0
0.00127488	0.00127488	0	0	166.917	0
0.00421693	0.00421693	0	0	62.4024	0
0.00392272	0.00392272	0	0	66.0897	0
0.00176523	0.00176523	0	0	137	0
0.00608022	0.00608022	0	0	48.1721	0
0.00284397	0.00284397	0	0	93.0332	0
0.00539374	0.00539374	0	0	49.8009	0
0.00353045	0.00353045	0	0	104.276	0
0.00666863	0.00666863	0	0	38.1502	0
0.00333431	0.00333431	0	0	73.8889	0
0.00205943	0.00205943	0	0	135.526	0
0.00382465	0.00382465	0	0	68.5	0
0.00147102	0.00147102	0	0	162.476	0
0.0067667	0.0067667	0	0	38.2049	0
0.00274591	0.00274591	0	0	118.917	0
0.00343238	0.00343238	0	0	84.3495	0
0.00205943	0.00205943	0	0	131.375	0
0.00284397	0.00284397	0	0	98.3766	0
0.0024517	0.0024517	0	0	90.7727	0
0.00323625	0.00323625	0	0	77.0779	0
0.00725704	0.00725704	0	0	42.3543	0
0.00764931	0.00764931	0	0	39.1175	0
0.00480533	0.00480533	0	0	62.0529	0
0.00470727	0.00470727	0	0	55.3983	0
0.00372659	0.00372659	0	0	110.835	0
