Fsi	Fsd	Fsi_l	Fsd_l	tl	th
0.00372659	0.00372659	0	0	68.0495	0
0.00353045	0.00353045	0	0	72.5789	0
0.00970874	0.00970874	0	0	32.6021	0
0.00196136	0.00196136	0	0	124.579	0
0.0021575	0.0021575	0	0	123.783	0
0.00304011	0.00304011	0	0	112.864	0
0.00186329	0.00186329	0	0	109.942	0
0.00372659	0.00372659	0	0	73.3834	0
0.00353045	0.00353045	0	0	84.8359	0
0.00470727	0.00470727	0	0	55.3889	0
0.00147102	0.00147102	0	0	121.556	0
0.00470727	0.00470727	0	0	54.6966	0
0.00764931	0.00764931	0	0	34.5786	0
0.00333431	0.00333431	0	0	74.9542	0
0.00382465	0.00382465	0	0	107.33	0
0.00598215	0.00598215	0	0	46.7641	0
0.00343238	0.00343238	0	0	74.9101	0
0.00519761	0.00519761	0	0	51.3352	0
0.00470727	0.00470727	0	0	54.7426	0
0.00421693	0.00421693	0	0	63.8542	0
0.0119643	0.0119643	0	0	28.0411	0
0.00284397	0.00284397	0	0	114.248	0
0.00362852	0.00362852	0	0	78.3889	0
0.0049034	0.0049034	0	0	58.5714	0
0.00235363	0.00235363	0	0	121.615	0
0.00156909	0.00156909	0	0	163.688	0
0.00166716	0.00166716	0	0	135.833	0
0.00637442	0.00637442	0	0	44.7779	0
0.00608022	0.00608022	0	0	47.4058	0
0.00843385	0.00843385	0	0	32.2978	0
0.00382465	0.00382465	0	0	89.6398	0
0.00333431	0.00333431	0	0	101.985	0
0.00509954	0.00509954	0	0	69.9322	0
0.00568795	0.00568795	0	0	47.1508	0
0.0021575	0.0021575	0	0	128.627	0
0.00451113	0.00451113	0	0	65.4361	0
0.00254977	0.00254977	0	0	111.27	0
0.00284397	0.00284397	0	0	113.923	0
0.00294204	0.00294204	0	0	90.9722	0
0.00176523	0.00176523	0	0	117.264	0
0.00441306	0.00441306	0	0	59.7527	0
0.00470727	0.00470727	0	0	71.2594	0
0.00627636	0.00627636	0	0	41.3048	0
0.00225557	0.00225557	0	0	117.708	0
0.00686476	0.00686476	0	0	40.7323	0
0.00196136	0.00196136	0	0	136.87	0
0.00627636	0.00627636	0	0	41.3048	0
0.00343238	0.00343238	0	0	73.4615	0
0.00254977	0.00254977	0	0	127.4	0
0.00137295	0.00137295	0	0	147.794	0
0.00166716	0.00166716	0	0	134.778	0
0.00176523	0.00176523	0	0	144.143	0
0.00666863	0.00666863	0	0	40.7319	0
0.00666863	0.00666863	0	0	88.0565	0
0.00323625	0.00323625	0	0	106.236	0
0.000882613	0.000882613	0	0	179.833	0
0.00421693	0.00421693	0	0	72.2792	0
0.00539374	0.00539374	0	0	99.8129	0
0.00186329	0.00186329	0	0	142.495	0
0.00774738	0.00774738	0	0	95.2051	0
0.00166716	0.00166716	0	0	119.571	0
0.00451113	0.00451113	0	0	60.997	0
0.00480533	0.00480533	0	0	54.0303	0
0.00205943	0.00205943	0	0	123.203	0
0.00755124	0.00755124	0	0	35.8479	0
0.00568795	0.00568795	0	0	47.629	0
