971 7 
1,52,73,104,155,186,207,
100,100,100,100,100,100,100,
0.24,0.15,0.17,0.13,0.16,0.17,0.21,
100,100,100,100,100,100,100,
5.66,0.17,0.21,0.23,0.19,0.19,0.21,
100,100,100,100,100,100,100,
0.53,0.07,0.09,0.06,0.1,0.08,0.12,
100,100,100,100,100,100,100,
0.22,0.09,0.14,0.16,0.16,0.12,0.18,
100,100,100,100,100,100,100,
0.23,0.14,0.17,0.15,0.15,0.16,0.18,
100,100,100,100,100,100,100,
0.41,0.12,0.1,0.07,0.09,0.13,0.09,
100,100,100,100,100,100,100,
0.25,0.14,0.16,0.14,0.13,0.13,0.19,
100,100,100,100,100,100,100,
0.18,0.14,0.16,0.07,0.18,0.2,0.18,
100,100,100,100,100,100,100,
0.32,0.1,0.11,0.11,0.11,0.13,0.11,
100,100,100,100,100,100,100,
0.22,0.14,0.15,0.16,0.11,0.13,0.18,
100,100,100,100,100,100,100,
0.16,0.11,0.14,0.08,0.14,0.18,0.18,
100,100,100,100,100,100,100,
0.15,0.12,0.13,0.09,0.14,0.12,0.12,
100,100,100,100,100,100,100,
0.1,0.1,0.12,0.04,0.14,0.13,0.14,
100,100,100,100,100,100,100,
0.24,0.22,0.19,0.24,0.14,0.2,0.27,
100,100,100,100,100,100,100,
0.13,0.14,0.15,0.07,0.17,0.18,0.13,
100,100,100,100,100,100,100,
0.21,0.09,0.15,0.11,0.12,0.15,0.16,
100,100,100,100,100,100,100,
0.19,0.08,0.16,0.13,0.13,0.14,0.19,
100,100,100,100,100,100,100,
0.31,0.09,0.13,0.08,0.14,0.13,0.13,
100,100,100,100,100,100,100,
0.29,0.11,0.19,0.21,0.18,0.18,0.23,
100,100,100,100,100,100,100,
0.26,0.17,0.2,0.21,0.17,0.21,0.22,
100,100,100,100,100,100,100,
0.35,0.09,0.13,0.08,0.13,0.14,0.15,
100,100,100,100,100,100,100,
0.31,0.2,0.22,0.17,0.23,0.23,0.28,
100,100,100,100,100,100,100,
0.28,0.18,0.16,0.2,0.19,0.17,0.26,
100,100,100,100,100,100,100,
0.1,0.11,0.13,0.05,0.17,0.13,0.13,
100,100,100,100,100,100,100,
0.2,0.12,0.15,0.18,0.13,0.16,0.17,
100,100,100,100,100,100,100,
0.09,0.1,0.11,0.03,0.13,0.12,0.12,
100,100,100,100,100,100,100,
0.22,0.09,0.16,0.12,0.17,0.18,0.22,
