876 7 
1,52,73,104,155,186,207,
100,100,100,100,100,100,100,
0.2,0.09,0.14,0.08,0.12,0.11,0.11,
100,100,100,100,100,100,100,
0.13,0.09,0.1,0.07,0.11,0.13,0.13,
100,100,100,100,100,100,100,
0.25,0.16,0.15,0.17,0.15,0.15,0.22,
100,100,100,100,100,100,100,
0.21,0.1,0.12,0.1,0.13,0.13,0.14,
100,100,100,100,100,100,100,
0.25,0.17,0.2,0.21,0.15,0.18,0.22,
100,100,100,100,100,100,100,
0.24,0.16,0.17,0.15,0.13,0.15,0.19,
100,100,100,100,100,100,100,
0.18,0.1,0.12,0.11,0.12,0.11,0.12,
100,100,100,100,100,100,100,
0.18,0.15,0.17,0.11,0.15,0.14,0.17,
100,100,100,100,100,100,100,
0.29,0.12,0.17,0.1,0.17,0.16,0.2,
100,100,100,100,100,100,100,
0.16,0.11,0.13,0.09,0.12,0.1,0.13,
100,100,100,100,100,100,100,
0.18,0.11,0.13,0.11,0.13,0.12,0.18,
100,100,100,100,100,100,100,
0.2,0.12,0.14,0.1,0.13,0.12,0.14,
100,100,100,100,100,100,100,
0.35,0.08,0.11,0.09,0.11,0.11,0.13,
100,100,100,100,100,100,100,
0.27,0.15,0.19,0.26,0.18,0.18,0.23,
100,100,100,100,100,100,100,
0.31,0.22,0.22,0.23,0.16,0.2,0.24,
100,100,100,100,100,100,100,
0.25,0.07,0.07,0.07,0.11,0.1,0.13,
100,100,100,100,100,100,100,
0.1,0.1,0.1,0.06,0.13,0.11,0.13,
100,100,100,100,100,100,100,
0.22,0.14,0.17,0.17,0.14,0.14,0.18,
100,100,100,100,100,100,100,
0.2,0.11,0.13,0.08,0.13,0.1,0.12,
100,100,100,100,100,100,100,
0.2,0.1,0.12,0.11,0.12,0.13,0.15,
100,100,100,100,100,100,100,
0.19,0.13,0.13,0.1,0.16,0.15,0.14,
100,100,100,100,100,100,100,
0.23,0.09,0.1,0.12,0.09,0.11,0.14,
100,100,100,100,100,100,100,
0.24,0.16,0.18,0.22,0.18,0.16,0.2,
100,100,100,100,100,100,100,
0.35,0.08,0.1,0.07,0.11,0.09,0.11,
100,100,100,100,100,100,100,
0.26,0.19,0.2,0.21,0.18,0.2,0.22,
100,100,100,100,100,100,100,
0.31,0.22,0.25,0.22,0.24,0.2,0.27,
100,100,100,100,100,100,100,
0.33,0.11,0.11,0.08,0.12,0.11,0.15,
