Fsi	Fsd	Fsi_l	Fsd_l	tl	th
0.00225557	0.00225557	0	0	118.283	0
0.00411886	0.00411886	0	0	73.1308	0
0.00751677	0.00774738	0	0	31.7493	0
0.00284397	0.00284397	0	0	97.9022	0
0.0202747	0.0203982	0	0	12.6919	0
0.0208807	0.0208886	0	0	13.3531	2.23661
0.00486256	0.00545528	0	0	61.7772	0
0.0116761	0.0122504	0	0	27.2059	0
0.0139615	0.0140886	0	0	36.6015	2.27714
0.00431499	0.00431499	0	0	114.697	0
0.0148834	0.0154137	0	0	12.5732	0
0.0142323	0.014923	0	0	16.499	0
0.0128469	0.0128469	0	0	30.8714	0
0.0180209	0.0183134	0	0	11.0985	0
0.00608022	0.00608022	0	0	101.433	0
0.0024517	0.0024517	0	0	121.722	0
0.00441306	0.00441306	0	0	71.027	0
0.00421693	0.00421693	0	0	60.1667	0
0.00353045	0.00353045	0	0	71.804	0
0.00539374	0.00539374	0	0	48.5224	0
0.00176523	0.00176523	0	0	136.091	0
0.00529568	0.00529568	0	0	48.1111	0
0.00362852	0.00362852	0	0	69.5833	0
0.00637442	0.00637442	0	0	49.8793	0
0.00470727	0.00470727	0	0	69.0732	0
0.00509954	0.00509954	0	0	50.3363	0
0.00519761	0.00519761	0	0	52.9524	0
0.0046092	0.0046092	0	0	60.2178	0
0.00441306	0.00441306	0	0	61.6017	0
0.000980681	0.000980681	0	0	168.091	0
0.00372659	0.00372659	0	0	97.4242	0
0.00362852	0.00362852	0	0	108.051	0
0.00441306	0.00441306	0	0	59.8252	0
0.0021575	0.0021575	0	0	110.844	0
0.00568795	0.00568795	0	0	47.7263	0
0.00353045	0.00353045	0	0	71.1538	0
0.00362852	0.00362852	0	0	79.2431	0
0.00343238	0.00343238	0	0	76.0365	0
0.00941453	0.00941453	0	0	64.2034	0
0.00402079	0.00402079	0	0	98.4372	0
0.00382465	0.00382465	0	0	64.25	0
0.00519761	0.00519761	0	0	71.3189	0
0.00519761	0.00519761	0	0	51.5966	0
0.00431499	0.00431499	0	0	65.8838	0
0.00225557	0.00225557	0	0	103.426	0
0.00392272	0.00392272	0	0	79.8188	0
0.0046092	0.0046092	0	0	58.4615	0
0.00657056	0.00657056	0	0	49.1129	0
0.00343238	0.00343238	0	0	79.9786	0
0.00500147	0.00500147	0	0	102.141	0
0.00235363	0.00235363	0	0	119.606	0
0.00254977	0.00254977	0	0	103.486	0
0.00225557	0.00225557	0	0	132.938	0
0.00225557	0.00225557	0	0	121.722	0
0.00372659	0.00372659	0	0	70.1894	0
0.00519761	0.00519761	0	0	52.9524	0
0.00372659	0.00372659	0	0	68.0495	0
0.00137295	0.00137295	0	0	127.984	0
0.00304011	0.00304011	0	0	112.06	0
0.00441306	0.00441306	0	0	56.6964	0
0.00323625	0.00323625	0	0	82.1465	0
0.00304011	0.00304011	0	0	85.3608	0
0.00343238	0.00343238	0	0	71.2607	0
0.00254977	0.00254977	0	0	105.39	0
0.00264784	0.00264784	0	0	115.854	0
0.00225557	0.00225557	0	0	92.859	0
0.00627636	0.00627636	0	0	40.8592	0
0.00274591	0.00274591	0	0	94.1865	0
0.00568795	0.00568795	0	0	75.6786	0
0.00294204	0.00294204	0	0	104.924	0
0.00421693	0.00421693	0	0	63.4474	0
0.00166716	0.00166716	0	0	113.273	0
0.00470727	0.00470727	0	0	57.524	0
0.00274591	0.00274591	0	0	115.1	0
0.00343238	0.00343238	0	0	72.7976	0
0.00225557	0.00225557	0	0	123.923	0
0.00392272	0.00392272	0	0	69.43	0
0.00725704	0.00725704	0	0	35.3655	0
0.00353045	0.00353045	0	0	71.804	0
0.00441306	0.00441306	0	0	58.5664	0
0.00343238	0.00343238	0	0	108.923	0
0.00431499	0.00431499	0	0	57.2172	0
0.00274591	0.00274591	0	0	92.3737	0
0.00539374	0.00539374	0	0	57.6716	0
0.00598215	0.00598215	0	0	105.444	0
0.0049034	0.0049034	0	0	61.4167	0
0.00176523	0.00176523	0	0	132.143	0
0.00715897	0.00715897	0	0	35.564	0
0.00549181	0.00549181	0	0	47.9277	0
0.00598215	0.00598215	0	0	54.7118	0
0.0049034	0.0049034	0	0	103.154	0
0.00411886	0.00411886	0	0	62.6099	0
0.00617829	0.00617829	0	0	44.3557	0
0.00372659	0.00372659	0	0	69.2381	0
0.00294204	0.00294204	0	0	110.403	0
0.00480533	0.00480533	0	0	68.5667	0
0.00284397	0.00284397	0	0	88.4921	0
0.00411886	0.00411886	0	0	64.5	0
0.00333431	0.00333431	0	0	85.3409	0
0.00411886	0.00411886	0	0	69.9583	0
0.00196136	0.00196136	0	0	130.472	0
0.00715897	0.00715897	0	0	45.4928	0
0.00421693	0.00421693	0	0	63.447	0
0.00441306	0.00441306	0	0	62.2317	0
0.00696283	0.00696283	0	0	39.6502	0
0.0024517	0.0024517	0	0	120.764	0
0.00402079	0.00402079	0	0	65.0371	0
0.00549181	0.00549181	0	0	56.678	0
0.00539374	0.00539374	0	0	59.2532	0
