439 7 
1,52,73,104,155,186,207,
100,100,100,100,100,100,100,
0.4,0.2,0.2,0.1,0.7,0.2,0.2,
100,100,100,100,100,100,100,
0.5,0.2,0.2,0.1,0.2,0.2,0.3,
100,100,100,100,100,100,100,
1.2,1.3,1.1,1.8,1.1,1,1.3,
100,100,100,100,100,100,100,
6.5,4.4,4.7,5.2,3.4,4.5,3.8,
100,100,100,100,100,100,100,
11.9,10.5,9.2,3.3,5.4,14.3,3.2,
100,100,100,100,100,100,100,
2.6,1.8,2,0.5,1.2,2.8,0.9,
100,100,100,100,100,100,100,
0.6,0.4,0.4,0.1,0.3,0.5,0.2,
100,100,100,100,100,100,100,
0.2,0.1,6.4,10.9,0.1,0.1,0.1,
100,100,100,100,100,100,100,
0.5,0.2,0.2,0.1,0.2,0.2,0.2,
100,100,100,100,100,100,100,
0.1,0.1,0.6,0,0.1,0.1,0.2,
100,100,100,100,100,100,100,
0.3,0.1,0.1,0.5,0.1,0.1,0.1,
100,100,100,100,100,100,100,
0.6,0.1,0.1,0.1,0.1,0.1,0.1,
100,100,100,100,100,100,100,
0.3,0.1,0.1,0.1,4,0.1,0.1,
100,100,100,100,100,100,100,
0.6,0.1,0.1,0.1,0.1,0.1,0.1,
100,100,100,100,100,100,100,
1,0.1,0.1,0.1,0.1,0.1,0.1,
100,100,100,100,100,100,100,
0.7,0.1,0.1,0.2,0.1,0.1,0.2,
100,100,100,100,100,100,100,
2.1,0.1,0.1,0.1,0.1,0.1,0.6,
100,100,100,100,100,100,100,
1.4,0.2,0.1,0.2,0.1,0.1,0.2,
100,100,100,100,100,100,100,
0.2,0.1,0.1,1.6,0.1,0.1,0.1,
100,100,100,100,100,100,100,
0.6,0.2,0.2,0.1,0.2,0.2,0.2,
100,100,100,100,100,100,100,
0.6,0,0.1,0.1,0.2,0.1,0.1,
100,100,100,100,100,100,100,
1,0.2,0.2,0.1,0.2,0.2,0.2,
100,100,100,100,100,100,100,
0.3,0.3,0.4,0.4,0.4,0.5,0.2,
100,100,100,100,100,100,100,
0.3,0.3,0.4,0.4,0.4,0.5,0.2,
100,100,100,100,100,100,100,
0.6,0.2,0.2,0.1,0.2,0.2,0.2,
100,100,100,100,100,100,100,
0.4,0.5,0.4,0.2,0.3,0.3,0.4,
100,100,100,100,100,100,100,
0.9,0.2,0.2,0.2,0.2,0.2,0.2,
100,100,100,100,100,100,100,
