Position,P0_A,P0_C,P0_G,P0_T,P0_Coverage,P0_Entropy,P5_A,P5_C,P5_G,P5_T,P5_Coverage,P5_Entropy,P7_A,P7_C,P7_G,P7_T,P7_Coverage,P7_Entropy,P10_A,P10_C,P10_G,P10_T,P10_Coverage,P10_Entropy,P15_A,P15_C,P15_G,P15_T,P15_Coverage,P15_Entropy,P18_A,P18_C,P18_G,P18_T,P18_Coverage,P18_Entropy,P20_A,P20_C,P20_G,P20_T,P20_Coverage,P20_Entropy,R2_P20_A,R2_P20_C,R2_P20_G,R2_P20_T,R2_P20_Coverage,R2_P20_Entropy,R3_P20_A,R3_P20_C,R3_P20_G,R3_P20_T,R3_P20_Coverage,R3_P20_Entropy,R4_P20_A,R4_P20_C,R4_P20_G,R4_P20_T,R4_P20_Coverage,R4_P20_Entropy,Group
43,0.18,0.31,99.19,0.31,122169,0.08,0.17,0.27,99.19,0.37,176998,0.08,0.13,0.26,99.51,0.1,43551,0.05,0.14,0.18,99.59,0.1,48409,0.05,0.13,0.34,99.46,0.07,46067,0.06,0.17,0.29,99.41,0.13,29377,0.06,0.21,0.32,99.07,0.4,115819,0.09,0.21,0.29,99.17,0.34,188820,0.08,0.16,0.3,99.47,0.07,48375,0.05,0.2,0.29,99.18,0.33,164828,0.08,R1_Ribp_UVm
44,0.18,0.13,99.59,0.1,127902,0.04,0.17,0.13,99.59,0.11,182885,0.04,0.22,0.13,99.62,0.03,45050,0.04,0.15,0.11,99.69,0.05,50362,0.03,0.15,0.11,99.71,0.03,48262,0.03,0.12,0.15,99.68,0.05,30625,0.04,0.18,0.14,99.55,0.12,120519,0.05,0.17,0.13,99.6,0.1,196338,0.04,0.15,0.09,99.72,0.04,50059,0.03,0.18,0.13,99.59,0.1,171830,0.05,R1_Ribp_UVm
45,0.03,99.52,0.34,0.11,133000,0.05,0.03,99.55,0.33,0.09,189740,0.05,0.02,99.57,0.33,0.07,46732,0.04,0.01,99.77,0.15,0.06,51854,0.03,0.02,99.6,0.31,0.07,49914,0.04,0.02,99.53,0.38,0.07,31726,0.05,0.02,99.62,0.26,0.11,125006,0.04,0.03,99.51,0.36,0.1,203794,0.05,0.02,99.56,0.36,0.05,51988,0.04,0.03,99.5,0.38,0.1,177956,0.05,R1_Ribp_UVm
46,0.03,0.14,99.63,0.2,135560,0.04,0.03,0.13,99.66,0.18,193190,0.04,0.03,0.11,99.81,0.05,47544,0.02,0.02,0.04,99.82,0.12,52516,0.02,0.02,0.08,99.74,0.15,50861,0.03,0.03,0.21,99.72,0.05,32392,0.03,0.04,0.1,99.68,0.18,127196,0.04,0.03,0.15,99.67,0.15,208211,0.04,0.01,0.16,99.78,0.05,53044,0.03,0.03,0.17,99.63,0.16,181786,0.04,R1_Ribp_UVm
47,0.01,99.89,0.03,0.07,136483,0.01,0.01,99.86,0.05,0.07,194437,0.02,0,99.88,0.06,0.06,47881,0.01,0,99.96,0.01,0.03,52629,0.01,0.01,99.9,0.02,0.07,51094,0.01,0,99.79,0.06,0.15,32739,0.02,0.01,99.9,0.02,0.07,127544,0.01,0.01,99.85,0.04,0.1,209801,0.02,0.01,99.87,0.02,0.11,53469,0.02,0.02,99.8,0.05,0.13,183667,0.02,R1_Ribp_UVm
48,0.24,0.07,0.29,99.4,137854,0.06,0.17,0.06,0.24,99.54,195856,0.05,0.21,0.06,0.26,99.47,48382,0.06,0.15,0.02,0.22,99.61,52658,0.04,0.32,0.07,0.21,99.4,51359,0.06,0.33,0.1,0.27,99.3,33168,0.07,0.2,0.04,0.23,99.53,127724,0.05,0.3,0.09,0.29,99.32,211011,0.07,0.32,0.07,0.21,99.4,53793,0.06,0.35,0.11,0.27,99.27,185484,0.07,R1_Ribp_UVm
49,99.64,0.08,0.14,0.13,138152,0.04,99.57,0.08,0.18,0.17,196109,0.05,99.68,0.07,0.15,0.1,48458,0.04,99.82,0.04,0.07,0.07,52671,0.02,99.69,0.07,0.17,0.07,51429,0.03,99.69,0.05,0.15,0.11,33260,0.03,99.67,0.06,0.12,0.16,127762,0.04,99.68,0.07,0.11,0.14,211307,0.04,99.78,0.04,0.1,0.08,53877,0.03,99.64,0.08,0.13,0.15,185851,0.04,R1_Ribp_UVm
50,0.08,0.15,99.53,0.24,138996,0.05,0.08,0.22,99.51,0.19,196508,0.05,0.09,0.24,99.59,0.08,48626,0.04,0.09,0.05,99.58,0.28,52691,0.04,0.04,0.16,99.59,0.22,51590,0.04,0.08,0.14,99.7,0.08,33401,0.03,0.07,0.08,99.65,0.21,127849,0.04,0.06,0.15,99.63,0.17,211673,0.04,0.05,0.15,99.73,0.08,53974,0.03,0.05,0.16,99.61,0.18,186350,0.04,R1_Ribp_UVm
51,0.12,99.78,0.02,0.09,139418,0.03,0.17,99.73,0.02,0.08,196679,0.03,0.16,99.74,0.01,0.08,48696,0.03,0.09,99.84,0.01,0.06,52726,0.02,0.14,99.78,0.01,0.07,51681,0.02,0.17,99.75,0.01,0.07,33468,0.03,0.1,99.81,0.02,0.07,127935,0.02,0.14,99.77,0.02,0.07,211860,0.03,0.08,99.86,0.01,0.04,54031,0.02,0.12,99.79,0.01,0.08,186547,0.02,R1_Ribp_UVm
52,99.79,0.07,0.02,0.11,139500,0.02,99.79,0.07,0.02,0.12,196813,0.02,99.87,0.09,0.01,0.04,48730,0.02,99.92,0.03,0.01,0.04,52741,0.01,99.88,0.06,0.02,0.04,51709,0.01,99.84,0.09,0.02,0.05,33486,0.02,99.81,0.04,0.02,0.12,127997,0.02,99.77,0.1,0.02,0.11,211923,0.03,99.86,0.09,0.01,0.04,54052,0.02,99.75,0.11,0.02,0.12,186611,0.03,R1_Ribp_UVm
