Fsi	Fsd	Fsi_l	Fsd_l	tl	th
0.00284397	0.00284397	0	0	88.2576	0
0.00196136	0.00196136	0	0	133.923	0
0.00294204	0.00294204	0	0	92.9192	0
0.00549181	0.00549181	0	0	48.4545	0
0.0024517	0.0024517	0	0	118.917	0
0.00402079	0.00402079	0	0	65.0371	0
0.00166716	0.00166716	0	0	137.341	0
0.0024517	0.0024517	0	0	115.152	0
0.00402079	0.00402079	0	0	105.611	0
0.00186329	0.00186329	0	0	131.646	0
0.00657056	0.00657056	0	0	38.2265	0
0.00431499	0.00431499	0	0	78.1981	0
0.00431499	0.00431499	0	0	61.226	0
0.00225557	0.00225557	0	0	132.938	0
0.00411886	0.00411886	0	0	64.1855	0
0.00558988	0.00558988	0	0	54.881	0
0.00686476	0.00686476	0	0	50.4956	0
0.00313818	0.00313818	0	0	87.8409	0
0.00353045	0.00353045	0	0	70.7576	0
0.0021575	0.0021575	0	0	128.652	0
0.00568795	0.00568795	0	0	46.5686	0
0.0021575	0.0021575	0	0	123.222	0
0.00421693	0.00421693	0	0	65.5594	0
0.00196136	0.00196136	0	0	128.818	0
0.00451113	0.00451113	0	0	63.5332	0
0.00362852	0.00362852	0	0	69.5833	0
0.00451113	0.00451113	0	0	56.3993	0
0.00353045	0.00353045	0	0	70.7576	0
0.00304011	0.00304011	0	0	89.3409	0
0.00568795	0.00568795	0	0	56.0897	0
0.00284397	0.00284397	0	0	110.973	0
0.010136	0.0106894	0	0	37.9536	0
0.00431499	0.00431499	0	0	98.8022	0
0.00284397	0.00284397	0	0	99.1804	0
0.00264784	0.00264784	0	0	117.071	0
0.00372659	0.00372659	0	0	99.4017	0
0.00441306	0.00441306	0	0	64.9238	0
0.00568795	0.00568795	0	0	54.4048	0
0.00509954	0.00509954	0	0	57.1778	0
0.00196136	0.00196136	0	0	119.127	0
0.00529568	0.00529568	0	0	48.2591	0
0.00441306	0.00441306	0	0	63.9963	0
0.00431499	0.00431499	0	0	104.004	0
0.00304011	0.00304011	0	0	85.2778	0
0.00529568	0.00529568	0	0	48.8875	0
0.00539374	0.00539374	0	0	48.3809	0
0.0021575	0.0021575	0	0	123.783	0
0.00274591	0.00274591	0	0	112.357	0
0.00353045	0.00353045	0	0	72.6894	0
0.00431499	0.00431499	0	0	104.698	0
0.00666863	0.00666863	0	0	57.6894	0
0.00362852	0.00362852	0	0	77.4786	0
0.00529568	0.00529568	0	0	47.5645	0
0.00431499	0.00431499	0	0	94.993	0
0.00696283	0.00696283	0	0	37.7893	0
0.00509954	0.00509954	0	0	59.73	0
0.00402079	0.00402079	0	0	121.571	0
0.00176523	0.00176523	0	0	112.25	0
0.00441306	0.00441306	0	0	58.5664	0
0.00539374	0.00539374	0	0	63.9686	0
0.00558988	0.00558988	0	0	46.1005	0
0.00304011	0.00304011	0	0	85.3608	0
0.00539374	0.00539374	0	0	46.9186	0
0.00284397	0.00284397	0	0	92.4722	0
0.00333431	0.00333431	0	0	80.9722	0
0.00254977	0.00254977	0	0	117.267	0
0.00558988	0.00558988	0	0	44.8571	0
0.0024517	0.0024517	0	0	113.248	0
0.00343238	0.00343238	0	0	111.743	0
0.00598215	0.00598215	0	0	56.0189	0
0.00235363	0.00235363	0	0	120.091	0
0.0049034	0.0049034	0	0	75.9291	0
0.00441306	0.00441306	0	0	56.0407	0
0.00519761	0.00519761	0	0	49.5989	0
0.00558988	0.00558988	0	0	57.4967	0
0.00254977	0.00254977	0	0	117.267	0
0.00274591	0.00274591	0	0	115.1	0
0.00264784	0.00264784	0	0	119.222	0
0.000980681	0.000980681	0	0	140.273	0
0.00421693	0.00421693	0	0	72.3859	0
0.00333431	0.00333431	0	0	100.197	0
0.0049034	0.0049034	0	0	56.5132	0
0.00353045	0.00353045	0	0	78.5938	0
0.0049034	0.0049034	0	0	56.226	0
0.00382465	0.00382465	0	0	69.5206	0
0.00411886	0.00411886	0	0	73.0317	0
0.00558988	0.00558988	0	0	47.0814	0
0.00274591	0.00274591	0	0	114.917	0
0.0070609	0.0070609	0	0	36.8931	0
0.00280222	0.00304011	0	0	89.8001	0
